target_names,direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,left_zone,right_zone,upper_zone,down_zone,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
O,14.719626168224298,16.822429906542055,17.757009345794394,16.121495327102803,13.785046728971963,5.841121495327103,7.94392523364486,7.009345794392523,27.171903881700555,22.828096118299445,22.735674676524955,27.26432532347505,56.25,2.5,16.25,25.0,0
O,14.587737843551798,16.913319238900634,17.970401691331926,15.221987315010571,12.896405919661735,5.919661733615222,8.879492600422834,7.6109936575052854,26.833631484794278,23.166368515205725,22.450805008944545,27.549194991055458,49.45054945054945,2.197802197802198,19.78021978021978,28.571428571428573,0
O,14.558472553699284,16.706443914081145,17.89976133651551,16.706443914081145,14.081145584725537,5.727923627684964,7.637231503579952,6.6825775656324575,27.071290944123316,22.928709055876688,23.603082851637765,26.396917148362235,55.55555555555555,2.4691358024691357,19.753086419753085,22.22222222222222,0
O,14.412416851441243,16.4079822616408,17.96008869179601,16.186252771618626,13.52549889135255,5.764966740576497,8.425720620842572,7.317073170731708,27.305605786618443,22.694394213381557,24.050632911392405,25.949367088607595,51.72413793103448,2.2988505747126435,20.689655172413794,25.287356321839077,0
O,13.898916967509026,15.703971119133575,17.870036101083034,15.703971119133575,13.357400722021662,6.498194945848375,9.386281588447654,7.581227436823105,25.470332850940665,24.529667149059332,25.108538350217074,24.891461649782922,49.01960784313725,1.9607843137254901,21.56862745098039,27.45098039215686,0
O,14.035087719298245,16.00877192982456,17.982456140350877,16.885964912280702,14.254385964912279,6.140350877192982,8.114035087719298,6.578947368421052,26.284246575342465,23.71575342465753,25.0,25.0,53.409090909090914,2.272727272727273,22.72727272727273,21.590909090909093,0
O,14.840182648401825,17.123287671232877,17.80821917808219,16.210045662100455,13.470319634703195,5.47945205479452,7.76255707762557,7.30593607305936,26.16387337057728,23.83612662942272,22.905027932960895,27.094972067039105,54.76190476190476,2.380952380952381,17.857142857142858,25.0,0
O,15.06276150627615,16.94560669456067,17.99163179916318,15.899581589958158,13.179916317991632,5.02092050209205,8.158995815899582,7.740585774058577,27.30263157894737,22.697368421052634,23.519736842105264,26.48026315789474,53.26086956521739,2.1739130434782608,17.391304347826086,27.173913043478258,0
O,14.553990610328638,16.901408450704224,17.84037558685446,16.197183098591548,13.615023474178404,5.868544600938967,7.981220657276995,7.042253521126761,26.140684410646386,23.85931558935361,23.288973384030417,26.71102661596958,53.65853658536585,2.4390243902439024,19.51219512195122,24.390243902439025,0
O,14.874141876430206,16.247139588100687,18.07780320366133,16.933638443935926,13.958810068649885,4.805491990846682,7.780320366132724,7.322654462242563,26.438848920863308,23.56115107913669,24.280575539568343,25.719424460431654,55.294117647058826,2.3529411764705883,18.823529411764707,23.529411764705884,0
O,14.285714285714286,16.780045351473923,17.913832199546487,16.099773242630388,13.832199546485262,6.34920634920635,8.16326530612245,6.575963718820862,26.427255985267035,23.572744014732965,22.92817679558011,27.07182320441989,52.94117647058824,2.3529411764705883,21.176470588235293,23.529411764705884,0
O,14.192139737991267,16.375545851528386,17.90393013100437,16.593886462882097,13.973799126637555,6.11353711790393,8.078602620087336,6.7685589519650655,26.695652173913043,23.304347826086957,24.52173913043478,25.478260869565215,53.409090909090914,2.272727272727273,21.590909090909093,22.72727272727273,0
O,13.786008230452675,15.637860082304528,17.695473251028808,16.666666666666668,13.786008230452675,6.378600823045268,8.641975308641976,7.407407407407407,26.12456747404844,23.875432525951556,24.999999999999996,24.999999999999996,52.80898876404495,2.247191011235955,20.224719101123597,24.719101123595507,0
O,13.765182186234817,16.194331983805668,17.813765182186234,16.59919028340081,13.967611336032387,6.680161943319838,8.299595141700404,6.680161943319838,26.39344262295082,23.606557377049178,24.01639344262295,25.983606557377048,52.12765957446808,2.127659574468085,23.404255319148938,22.340425531914892,0
O,13.565891472868218,16.08527131782946,17.829457364341085,15.891472868217056,13.372093023255815,6.976744186046512,9.108527131782946,7.170542635658915,25.0,25.0,23.84868421052632,26.151315789473685,47.95918367346939,2.0408163265306123,24.48979591836735,25.510204081632654,0
O,15.242494226327944,17.090069284064665,18.244803695150114,16.397228637413395,14.318706697459584,5.080831408775981,7.390300230946882,6.235565819861431,28.80794701986755,21.192052980132452,22.8476821192053,27.152317880794705,57.64705882352941,2.3529411764705883,17.647058823529413,22.35294117647059,0
O,13.588110403397028,15.923566878980893,18.04670912951168,16.13588110403397,14.012738853503185,7.006369426751593,8.9171974522293,6.369426751592357,26.311336717428087,23.688663282571913,24.28087986463621,25.71912013536379,49.45054945054945,2.197802197802198,25.274725274725277,23.07692307692308,0
O,13.916500994035786,15.904572564612327,18.09145129224652,16.50099403578529,14.11530815109344,6.361829025844931,8.548707753479126,6.560636182902585,26.53543307086614,23.46456692913386,24.64566929133858,25.35433070866142,51.546391752577314,2.0618556701030926,23.711340206185564,22.680412371134018,0
O,14.201183431952664,16.568047337278106,17.94871794871795,15.779092702169626,13.412228796844182,6.31163708086785,8.678500986193294,7.100591715976332,26.99044585987261,23.00955414012739,23.805732484076433,26.194267515923567,50.515463917525764,2.0618556701030926,21.649484536082472,25.773195876288657,0
O,13.729508196721312,15.98360655737705,18.0327868852459,16.598360655737704,14.344262295081968,6.762295081967213,8.401639344262295,6.147540983606557,25.929054054054053,24.070945945945944,23.902027027027028,26.097972972972972,52.12765957446808,2.127659574468085,24.46808510638298,21.27659574468085,0
O,14.505494505494505,16.263736263736263,18.24175824175824,15.824175824175825,13.626373626373626,5.714285714285714,8.791208791208792,7.032967032967033,26.519337016574585,23.480662983425415,23.112338858195212,26.887661141804788,50.56179775280899,2.247191011235955,21.348314606741575,25.842696629213485,0
O,14.675052410901467,16.352201257861633,17.61006289308176,16.142557651991613,13.20754716981132,5.450733752620545,8.385744234800839,8.176100628930817,27.242524916943523,22.75747508305648,25.74750830564784,24.25249169435216,54.651162790697676,2.3255813953488373,19.767441860465116,23.255813953488374,0
O,14.649681528662422,16.56050955414013,18.04670912951168,15.711252653927813,13.163481953290871,5.520169851380043,8.704883227176222,7.643312101910828,25.77586206896552,24.224137931034484,23.362068965517242,26.63793103448276,50.549450549450555,2.197802197802198,19.78021978021978,27.472527472527474,0
O,14.41048034934498,16.375545851528386,17.90393013100437,16.375545851528386,13.537117903930131,5.676855895196507,8.296943231441048,7.423580786026201,26.755852842809364,23.244147157190636,24.83277591973244,25.16722408026756,52.27272727272728,2.272727272727273,20.454545454545457,25.000000000000004,0
O,14.476614699331849,16.70378619153675,17.59465478841871,16.25835189309577,12.91759465478842,5.56792873051225,8.24053452115813,8.24053452115813,25.659050966608085,24.340949033391915,24.340949033391915,25.659050966608085,51.76470588235294,2.3529411764705883,18.823529411764707,27.058823529411764,0
O,14.68682505399568,16.630669546436284,17.92656587473002,16.198704103671705,13.390928725701944,5.399568034557236,8.207343412526997,7.559395248380129,26.859504132231407,23.140495867768596,25.041322314049587,24.958677685950413,52.80898876404495,2.247191011235955,19.10112359550562,25.842696629213485,0
